DEPT,Depth Index
BS,Bit Size
CALI,Average Caliper
CHR1,Label Peak Coherence Receiver Array - Lower Dipole
CHR2,Label Peak Coherence Receiver Array - Upper Dipole
CHRP,Label Peak Coherence Receiver Array Compressional - Monopole P&S
CHRS,Label Peak Coherence Receiver Array Shear - Monopole P&S
DRHO,DENSITY CORRECTION
DT1R,Delta-T Shear Receiver Array - Lower Dipole
DT2,Delta-T Shear - Upper Dipole
DT2R,Delta-T Shear Receiver Array - Upper Dipole
DT4P,Delta-T Compressional - Monopole P&S
DT4S,Delta-T Shear - Monopole P&S
GR,NATURAL GAMMA RAY
HD1,Hole Diameter 1
HD2,Hole Diameter 2
HD3,Hole Diameter 3
NPOR,Enhanced Thermal Neutron Porosity in Selected Lithology
PEF,Photoelectric Factor
RHOB,BULK DENSITY
SPR1,Spare 1
TENS,CABLE TENSION
VPVS,Compressional to shear velocity ratio
