DEPT,Depth Index
ABS,Area of Bit
AFCD,Area of Future Casing
ANOR,Acceleration Computed Norm (vector length)
AREA,Area of Borehole
AX,ACC X
AY,ACC Y
AZ,TOOL ACCELERATION
AZS1G,GPIT Gamma Simple Sum
AZS2G,GPIT Gamma Double Sum
AZSNG,GPIT Number of Raw Acceleration Samples
BDQC,Bulk Density Quality Curve
BS,Bit Size
C1_OBMT,OBMT Caliper 1
C1SP,HNGS Detector 1 Coincidence Spectrum
C2_OBMT,OBMT Caliper 2
C2SP,HNGS Detector 2 Coincidence Spectrum
CALI,Average Caliper
CDF,Calibrated Downhole Force
CFTC,Corrected Far Thermal Count Rate
CHI1,Goodness of fit of each echo data packet
CHI2,HNGS Detector 2 Chi-Squared
CNTC,Corrected Near Thermal Count Rate
CS,CABLE SPEED
CSTS_HNGS,GammaRay Combined Tool Status Word
CVEL,Cable Velocity
DALP,Alpha Factor for Alpha Processing
DCAL,DIFFERENTIAL CALIPER
DEVI,Hole Inclination
DF,Uncalibrated Downhole Force
DPHI,DENSITY POROSITY
DRHO,DENSITY CORRECTION
ECGR,Environmentally Corrected Gamma Ray
EHGR,High Resolution Corrected Gamma Ray
ETIM,TIME FROM LOG BEGIN (MS)
FCAX,Fast Channel (High Resolution) Acceleration on X Axis
FCAY,Fast Channel (High Resolution) Acceleration on Y Axis
FCAZ,Fast Channel (High Resolution) Acceleration on Z Axis
FCD,Future Casing Diameter
FINC,Magnetic Field Inclination
FNOR,Magnetic Field Computed Norm (vector length)
FTIM,Fluid wave traveltime
FX,Magnetometer X-Axis
FY,Magnetometer Y-Axis
FZ,Formation factor from ZDL
GAT,Reflectance noise gate chosen
GCF1,HNGS Detector 1 Gain Correction Factor
GCF2,HNGS Detector 2 Gain Correction Factor
GMT,GPIT Magnetometer Temperature
GR,NATURAL GAMMA RAY
HAZI,Hole Azimuth (declination corrected)
HBHK,HNGS Borehole Potassium Concentration
HCFT,High Resolution Far Thermal Count Rate
HCGR,HNGS Computed Gamma-Ray
HCNT,High Resolution Near Thermal Count Rate
HDAL,High Resolution Density Alpha Factor
HDAR,Hole Diameter from Area
HDPH,High Resolution Density Porosity
HDRH,High Resolution Density Correction
HFK,HNGS Formation Potassium Concentration
HGR,High Resolution Gamma Ray
HLIT,High Resolution Lithology Window Countrate
HLL,High Resolution Long Lower Window Countrate
HLS,High Resolution Long Spacing Countrate
HLU,High Resolution Long Upper 1-2 Window Countrate
HNPO,High Resolution Enhanced Thermal Neutron Porosity in Selected Lithology
HNRH,High Resolution Enhanced Bulk Density
HPEF,High Resolution Photoelectric Factor
HPHN,High Resolution Porosity from Enhanced Density
HRHO,High Resolution Bulk Density
HSGR,HNGS Standard Gamma-Ray
HSS1,High Resolutionn Short Spacing 1 Window Countrate
HSS2,High Resolution Short Spacing 2 Window Countrate
HTAL,High Resolution Thermal Alpha Correction Factor
HTHO,HNGS Formation Thorium Concentration
HTNP,High Resolution Thermal Neutron Porosity (Ratio Method) in Selected Lithology
HTPR,HNGS Thorium/Potassium Ratio
HTUR,HNGS Thorium/Uranium Ratio
HUPR,HNGS Uranium/Potassium Ratio
HURA,HNGS Formation Uranium Concentration
ICV,Integrated Cement Volume
IDWD,Borehole depth as measured by the IDW (Integrated Depth Wheel)
IHV,Integrated Hole Volume
LHVD,Long Spacing Downhole High Voltage CCS
LITH,Litholog Window Count Rate
LL,Long Lower Window Count Rate
LQC_IMG_OBMT,Data Quality Flags Image
LS,Long space count rate
LSHV,High Voltage for Long Spacing Loop
LSRH,Long Spacing Density (Uncorrected)
LU,Long Upper Computed Window Count Rate
LURH,Long Upper Bulk Density
MBHK,HNGS (HBHK - SBHK)
MCGR,HNGS (HCGR - SCGR)
MFK,HNGS (HFK - SFK)
MSGR,MSG RECEIVER
MTHO,HNGS (HTHO - STHO)
MURA,HNGS (HURA - SURA)
NPHI,NEUTRON POROSITY
NPL,Neutron Porosity Limestone
NPOR,Enhanced Thermal Neutron Porosity in Selected Lithology
NRHO,Bulk Density Enhanced Vertical Resolution
OBRA,Buttons Resistivities Pad A
OBRB,Buttons Resistivities Pad B
OBRC,Buttons Resistivities Pad C
OBRD,Buttons Resistivities Pad D
OIA,Injected Current Average Amplitude Pad A
OIB,Injected Current Average Amplitude Pad B
OIC,Injected Current Average Amplitude Pad C
OID,Injected Current Average Amplitude Pad D
OVAAA,Applied Voltage Amplitude Pad A
OVAAB,Applied Voltage Amplitude Pad B
OVAAC,Applied Voltage Amplitude Pad C
OVAAD,Applied Voltage Amplitude Pad D
OZA,Injection Impedance Pad A
OZB,Injection Impedance Pad B
OZC,Injection Impedance Pad C
OZD,Injection Impedance Pad D
P1AZ,Pad 1 azimuth. Always = 0 with LWD images
P1AZ_OBMT,Memorized Pad 1 Azimuth
P1NO_OBMT,Memorized Pad 1 Rotation Relative to North Azimuth for OBMT
PBHK,HNGS (HBHK + SBHK)
PCGR,HNGS (HCGR + SCGR)
PEF,Photoelectric Factor
PFK,HNGS (HFK + SFK)
PHND,Porosity from Enhanced Density
PP_OBMT,Pad Pressure
PSGR,HNGS (HSGR + SSGR)
PTHR,HNGS (HTHO + STHO)
PURA,HNGS (HURA + SURA)
QLS,Quality Long Spacing
QRLS,Quality Ratio Long Spacing
QRSS,Quality Ratio Short Spacing
QSS,Quality Control Short Spacing
RB,Relative bearing (relative to borehole high side)
RB_OBMT,Memorized Relative Bearing
RCAL,Raw Caliper
RCFT,Raw Corrected Thermal Far Count Rate
RCNT,Raw Corrected Thermal Near Count Rate
RDF1,HNGS Detector 1 Resolution Degradation Factor
RDF2,HNGS Detector 2 Resolution Degradation Factor
RGR,NATURAL GAMMA RAY
RHFT,Raw High Resolution Far Thermal Count Rate
RHGR,High Resolution Raw Gamma Ray
RHLI,Raw High-Resolution Litholog Counts
RHLL,Raw High-Resolution Long Lower Counts
RHLS,Raw High-Resolution Long Spacing Counts
RHLU,Raw High-Resolution Long Spacing Upper Counts
RHNT,Raw High Resolution Near Thermal Count Rate
RHOB,BULK DENSITY
RHS1,Raw High-Resolution Short Spacing 1 Counts
RHS2,Raw High-Resolution Short Spacing 2 Counts
RLIT,Raw Lithology Count Rate
RLL,Raw LL Count Rate
RLS,Raw Long Spacing Count Rate
RLU,Raw Long Upper Count Rate
RSS1,Raw Short Spacing Window 1
RSS2,Raw Short Spacing Window 2
RTNR,Raw Thermal Neutron Ratio
S1AT,HNGS Detector 1 Spectrum Accumulation Time
S1CH,HNGS Detector 1 High Voltage Control Loop Status
